P117,美妆_商品117,P206,1,0,0,1
P117,美妆_商品117,P239,1,0,0,2
P141,男装_商品141,P131,1,0,0,1
P141,男装_商品141,P125,1,0,0,2
P144,美妆_商品144,P209,1,1,1,1
P144,美妆_商品144,P235,1,0,1,2
P144,美妆_商品144,P136,1,0,0,3
P144,美妆_商品144,P237,1,0,0,4
P209,数码_商品209,P144,1,1,1,1
P258,女装_商品258,P120,1,0,0,1
P259,女装_商品259,P298,1,0,0,1
P259,女装_商品259,P243,1,0,0,2
P293,女装_商品293,P230,1,0,1,1
P293,女装_商品293,P298,1,0,0,2
P309,男装_商品309,P276,1,1,0,1
P309,男装_商品309,P252,1,0,0,2
P336,数码_商品336,P113,1,1,0,1
P344,美妆_商品344,P286,1,0,0,1
P344,美妆_商品344,P116,1,0,0,2
